time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-08T14:18:14.170Z,34.3008333,-116.4393333,6.03,1.28,ml,22,74,0.04792,0.23,ci,ci37519687,2016-11-08T14:49:17.293Z,"21km N of Yucca Valley, CA",earthquake,0.37,0.88,0.118,27,reviewed,ci,ci
2016-11-08T14:13:58.360Z,-25.4077,-70.183,57.62,4.7,mwr,,114,0.589,0.99,us,us100076a8,2016-11-08T16:25:07.721Z,"30km E of Taltal, Chile",earthquake,6.1,5.2,,,reviewed,us,guc
2016-11-08T14:11:02.480Z,35.9461667,-117.662,2.91,1.68,ml,29,52,0.009586,0.13,ci,ci37519679,2016-11-08T15:54:11.461Z,"22km E of Little Lake, CA",earthquake,0.14,0.29,0.094,34,reviewed,ci,ci
2016-11-08T14:07:41.000Z,64.8488,-147.635,14.2,1.1,ml,,,,0.49,ak,ak14310157,2016-11-08T14:23:27.357Z,"4km ENE of Fairbanks, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-11-08T14:06:40.241Z,37.2901,-115.1472,0,0.4,ml,10,193.04,0.139,0.1418,nn,nn00565849,2016-11-08T16:55:37.783Z,"8km S of Alamo, Nevada",earthquake,,0,0.13,5,reviewed,nn,nn
2016-11-08T14:01:09.130Z,38.8101654,-122.8131638,0.99,0.88,md,13,99,0.01258,0.05,nc,nc72722010,2016-11-08T14:19:02.115Z,"6km NW of The Geysers, California",earthquake,0.31,0.39,0.11,6,automatic,nc,nc
2016-11-08T13:45:46.000Z,60.5287,-147.4856,0.1,2.2,ml,,,,0.79,ak,ak14310110,2016-11-08T13:57:23.183Z,"70km ESE of Whittier, Alaska",earthquake,0.4,0.2,,,automatic,ak,ak
2016-11-08T13:37:17.570Z,38.8586655,-122.8096695,1.55,0.65,md,9,116,0.0114,0.03,nc,nc72722005,2016-11-08T14:08:06.087Z,"8km WNW of Cobb, California",earthquake,0.37,0.69,0.09,2,automatic,nc,nc
2016-11-08T13:24:36.300Z,45.6881667,-111.2898333,0.27,2.33,ml,30,88,0.255,0.2,mb,mb80188664,2016-11-08T15:44:38.390Z,"10km NW of Four Corners, Montana",earthquake,0.33,1.39,0.262,12,reviewed,mb,mb
2016-11-08T12:45:06.780Z,37.5278333,-119.2823333,15.86,1.19,md,11,332,0.1909,0.03,nc,nc72721985,2016-11-08T18:51:02.775Z,"30km WSW of Mammoth Lakes, California",earthquake,1.03,0.98,0.11,8,reviewed,nc,nc
2016-11-08T12:43:20.370Z,36.4407,141.1072,35,4.2,mwr,,119,1.448,0.81,us,us100076a4,2016-11-08T13:42:55.040Z,"44km ESE of Hitachi, Japan",earthquake,4.9,2,0.075,17,reviewed,us,us
2016-11-08T12:36:55.940Z,38.7626648,-122.7340012,0.61,0.83,md,9,122,0.01685,0.04,nc,nc72721975,2016-11-08T12:52:01.938Z,"2km SE of The Geysers, California",earthquake,0.29,1.15,0.26,5,automatic,nc,nc
2016-11-08T12:13:00.780Z,19.6735,-156.0996667,10.857,1.87,md,32,242,0.2109,0.18,hv,hv61473521,2016-11-08T19:44:00.190Z,"11km WNW of Kailua-Kona, Hawaii",earthquake,1.91,0.98,0.124,18,reviewed,hv,hv
2016-11-08T12:02:02.100Z,32.2296667,-115.26,15.27,2.57,ml,22,186,0.1721,0.22,ci,ci37519655,2016-11-08T15:49:55.254Z,"8km W of Alberto Oviedo Mota, B.C., MX",earthquake,0.48,1.06,0.152,63,reviewed,ci,ci
2016-11-08T11:42:50.000Z,60.7869,-146.5368,22,2,ml,,,,0.42,ak,ak14310015,2016-11-08T11:53:24.515Z,"39km SSW of Valdez, Alaska",earthquake,1.4,1.2,,,automatic,ak,ak
2016-11-08T11:34:13.620Z,38.7771683,-122.7070007,1.06,1.1,md,9,146,0.008901,0.04,nc,nc72721965,2016-11-08T12:05:01.843Z,"4km E of The Geysers, California",earthquake,0.4,0.5,0.33,5,automatic,nc,nc
2016-11-08T11:28:52.126Z,38.3939,-118.3016,6.7,0.5,ml,5,157.1,0.017,0.0685,nn,nn00565830,2016-11-08T15:21:53.115Z,"31km ESE of Hawthorne, Nevada",earthquake,,3.7,0.11,2,reviewed,nn,nn
2016-11-08T11:26:46.550Z,38.7618332,-122.7344971,1.33,1.63,md,11,123,0.01767,0.04,nc,nc72721955,2016-11-08T11:42:02.801Z,"2km SE of The Geysers, California",earthquake,0.31,0.52,0.11,7,automatic,nc,nc
